ID,station,area,depth_level,lat,long,depth,sal,temp,din,po4,sio2,n_p,chla,chla_micro,chla_nano,chla_pico,chl_c3,chl_c2,peridinina,fucoxantina,19hf,diadino,alloxan,diatox,zeaxant,luteine,fv_fm,chloro_ra,crypto_ra,cyano_ra,diato_ra,dino_ra,hapto_ra,pras_ra,chaeto,fragilar,pseudo-nitz,diatoms_oth,dinoflag,phaeo,choanof,other
1-Cordone,ST12,baia_terranova,shallow,-75.07186,163.70473,35,34.46,-0.86,26.37,1.82,39.78,14.49,2.51,1.293,0.487,0.73,0.14,0.251,0,0.475,0.369,0.068,0.006,0,0,0.014,0.46,4.44905785468037,1.85311012198047,0,45.4437721811148,14.5675369819201,33.6865228603043,0,NA,586262,823402,144919,125156,2944487,0,414995
2-Cordone,ST14,baia_terranova,shallow,-74.9274,163.988333333333,20,34.28,1.73,11.09,0.83,35.77,13.37,3.752,NA,NA,0.145,0.053,0.465,0.051,1.427,0.05,0.184,0.03,0.014,0,0,0.38,0,5.47287937203751,0,91.1807326731435,0,3.34638795481894,0,155098,5583515,16994270,1196468,155098,420979,0,2459406
3-Cordone,ST15,baia_terranova,shallow,-74.71124,164.23106,20,34.36,1.74,11.81,0.81,37.62,14.60,2.38,1.058,1.216,0.106,0.03,0.26,0,0.853,0.037,0.147,0,0,0,0,0.3,0,0,0,97.4043382245118,0,2.59566177548823,0,288038,5007438,15709175,1307252,199412,686861,0,3234893
5-Cordone,ST18,baia_terranova,shallow,-75.17703,165.04118,15,34.1,1.03,12.32,0.79,37.80,15.68,2.388,1.328,0.971,0.09,0.028,0.257,0.043,0.816,0.045,0.137,0,0.014,0.008,0,0.2,0,0,1.48627340190736,95.8612679718474,0,2.65245862624521,0,0,0,0,0,0,0,0,0
6-Cordone,ST19,baia_terranova,shallow,-75.0045666666667,165.127316666667,20,34.67,0.33,17.47,1.23,49.48,14.22,2.368,NA,NA,NA,0.067,0.306,0,0.751,0.111,0.1,0,0.007,0,0,0.32,0.071464799720255,0.087832611990599,0.013386218309467,87.7136009917859,0,12.0824723341324,0.03124304406138,0,0,0,0,0,0,0,0
7-Cordone,ST21,baia_terranova,shallow,-74.8748766666667,166.581193333333,30,34.1,-0.14,21.07,1.46,49.95,14.44,1.297,0.078,1.035,0.184,0.023,0.156,0,0.479,0.086,0.09,0,0,0,0,0.24,0.007372291920052,0.009115523991992,0.001194763655425,96.5448641437245,0,3.43461778239942,0.002835494308601,26348,1936642,1956403,355710,243727,533565,39523,797052
8A-Cordone,ST23,baia_terranova,shallow,-75.23705,166.179451666667,15,34,0.54,15.16,0.89,39.99,17.05,2.021,1.183,0.69,0.148,0.03,0.24,0,0.763,0.045,0.148,0.008,0.01,0.011,0.009,0.2,0,2.57771810557744,0,93.8458638682458,0,3.57641802617676,0,132940,3899598,4608616,1218624,221568,509607,0,1839015
8B-Cordone,ST23_B,baia_terranova,deep,-75.23705,166.179451666667,100,34.67,-1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Cordone,ST39,baia_terranova,shallow,-74.7128833333333,164.224583333333,25,34.48,-0.37,22.43,1.63,45.52,11.64,1.262,0.785,0.396,0.081,0.044,0.152,0,0.44,0.096,0.063,0.005,0.005,0.005,0,0.41,0,2.780991345,1.445396315,81.97060844,0,13.8030039,0,13175,675190,312893,191029,233846,167974,26349,629081
A1-Cordone,ST43,ross_sea,shallow,-75.3133616666667,168.887346666667,28,34.18,-0.18,22.01,1.29,42.41,16.45,1.685,NA,NA,0.082,0.032,0.358,0.088,1.054,0.054,0.167,0,0,0,0,0.23,0,0,0,98.2194133052232,0,1.78058669477683,0,125157,2298938,1594107,955147,467692,316186,92221,876099
A2-Cordone,ST43_B,ross_sea,deep,-75.3133616666667,168.887346666667,45,34.25,-0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-Cordone,ST44,ross_sea,shallow,-75.6297333333333,170.850783333333,39,34.42,-0.61,23.35,1.57,48.88,14.01,1.088,0.603,0.236,0.249,0.057,0.169,0,0.274,0.014,0.038,0,0,0,0.011,NA,6.45140919993057,0.198994527177547,0,66.1346487027861,0,27.2149475701058,0,309599,184442,256901,26348,59285,928798,2891789,829989
C-Cordone,ST45,ross_sea,shallow,-75.9229083333333,172.827626666667,28,34.37,-0.08,22.18,1.63,51.41,13.21,0.737,0.128,0.486,0.123,0.048,0.118,0.022,0.148,0.011,0.05,0,0,0,0.009,0.33,7.62929978073468,0.12419195298191,0,47.397986336137,9.77335381442373,35.0751681157227,0,105395,217378,329361,32935,52698,559914,810228,750943
D1-Cordone,ST46,ross_sea,shallow,-76.1994916666667,174.996098333333,28,34.42,-0.38,18.61,1.62,55.68,10.65,1.625,0.377,1.046,0.202,0.183,0.32,0,0.217,0.045,0.087,0,0.011,0,0.039,0.3,13.9088901036272,0.208303161662982,0,28.4873491112105,0,57.3954576234994,0,131744,210791,177855,32935,98807,2661236,1060542,1673153
D2-Cordone,ST46_B,ross_sea,deep,-76.1994916666667,174.996098333333,45,34.44,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E1-Cordone,ST47,ross_sea,shallow,-76.40035,176.495923333333,45,34.45,-0.39,16.79,1.47,50.30,10.37,1.224,0.413,0.551,0.259,0.116,0.015,0,0.148,0.033,0.01,0,0,0.012,0,0.28,NA,NA,NA,NA,NA,NA,NA,52698,26349,0,13174,59284,2279178,487454,1034193
E2-Cordone,ST47_B,ross_sea,deep,-76.40035,176.495923333333,80,34.51,-1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F-Cordone,ST48,ross_sea,shallow,-76.6003166666667,177.998083333333,42,34.47,-0.6,18.26,1.49,49.97,11.10,1.395,NA,NA,0.105,0.157,0.239,0,0.147,0.036,0.04,0,0,0,0.023,0.45,10.9427342192764,0.107455116730088,0,21.0865761585173,0,67.8632345054762,0,138331,46111,79047,32936,46110,2970835,3649319,1778549
G-Cordone,ST49,ross_sea,shallow,-76.6460166666667,174.996433333333,26,34.33,-0.22,19.67,1.42,53.77,13.25,2.386,1.334,0.861,0.191,0.122,0.31,0,0.485,0.014,0.068,0,0.015,0,0.014,0.42,4.99609569618012,0,0,58.7775968333935,0,36.2263074704264,0,138331,309599,184442,243727,46110,1422839,2035450,1244984
H-Cordone,ST51,ross_sea,shallow,-75.4,175.004833333333,33,34.32,-0.04,20.58,1.59,54.87,12.20,0.287,0.068,0.134,0.085,0.081,0.207,0,0.335,0.013,0.051,0,0.005,0,0.008,0.3,3.97509591511838,0.165766833521839,0,63.73,0,32.1254033421573,0,191029,382059,250314,151504,13174,671896,988083,889274
I-Cordone,ST53,ross_sea,shallow,-74.9452,175.0106,35,34.17,-0.18,24.23,1.24,47.08,18.65,1.14,0.892,0.073,0.175,0.099,0.319,0.035,0.533,0.27,0.067,0,0.008,0,0.009,0.26,3.3570636877713,0,0,70.1101844756315,0,26.5327518365972,0,237140,494041,2088148,382058,118569,1113240,1040780,1133001
L-Cordone,ST54,ross_sea,shallow,-74.8008333333333,176.5028,28,34.28,-0.1,23.83,1.48,45.41,14.47,1.693,1.294,0.229,0.17,0.188,0.452,0,0.802,0.404,0.142,0,0.01,0,0.018,0.36,4.19445348910658,0,0,62.5405575012364,0,33.264989009657,0,283251,164680,428169,276661,39523,2878614,368884,790465
M-Cordone,ST55,ross_sea,shallow,-74.6025833333333,175.004516666667,15,34.15,-0.33,24.45,1.47,44.78,16.04,2.225,1.872,0.18,0.173,0.166,0.389,0,0.533,0.587,0.134,0,0.011,0,0.023,0.3,7.24254727682061,0,0,56.7610798067307,0,35.9963729164486,0,155098,310195,974900,265882,132941,5472731,886272,731175
N-Cordone,ST59,ross_sea,shallow,-73.99957,175.10031,34,34.17,-0.38,25.72,1.63,55.36,14.85,1.961,1.41,0.323,0.228,0.099,0.274,0,0.445,0.015,0.075,0,0.011,0,0.016,0.27,5.84771668315588,0.157255341672016,0,64.3775443265223,0,29.6174836486498,0,79046,355710,1343793,223964,85635,1982753,283250,869513
